English,Vietnamese
the,các
of,của
and,và
a,một
to,đến
in,Trong
is,Là
you,bạn
that,cái đó
it,nó
he,anh ta
was,là
for,vì
on,trên
are,là
as,như
with,với
his,của anh
they,họ
I,Tôi
at,tại
be,thì là ở
this,đây
have,có
from,từ
or,hoặc
one,một
had,có
by,qua
word,từ
but,nhưng
not,không phải
what,Gì
all,tất cả các
were,là
we,chúng tôi
when,khi nào
your,của bạn
can,có thể
said,nói
there,ở đó
use,sử dụng
an,một
each,mỗi
which,cái mà
she,cô ấy
do,làm
how,thế nào
their,của chúng
if,nếu
will,sẽ
up,lên
other,khác
about,Về
out,ngoài
many,nhiều
then,sau đó
them,họ
these,này
so,vì thế
some,một số
her,cô ấy
would,sẽ
make,làm
like,giống
him,anh ta
into,vào trong
time,thời gian
has,có
look,nhìn
two,hai
more,hơn
write,viết
go,đi
see,hiểu
number,con số
no,không
way,đường
could,có thể
people,Mọi người
my,của tôi
than,hơn
first,Đầu tiên
water,nước
been,đã
call,cuộc gọi
who,ai
oil,dầu
its,nó là
now,bây giờ
find,tìm thấy
long,Dài
down,xuống
day,ngày
did,làm
get,lấy
come,đến
made,thực hiện
may,có thể
part,phần